=================================================================
  FUSSI Image Optimizer
  Source : C:\Users\mehme\Desktop\Stores\cozastore-master\images
  Output : C:\Users\mehme\Desktop\Stores\cozastore-master\images\webp
  Quality: 85  |  Max width: 2000px
=================================================================

Found 644 image(s) to process...

  [OK]  images\about-01.jpg -> images\webp\about-01.webp  25.5% LARGER (source was already small)
  [OK]  images\about-02.jpg -> images\webp\about-02.webp  37.0% LARGER (source was already small)
  [OK]  images\avatar-01.jpg -> images\webp\avatar-01.webp  5.3% LARGER (source was already small)
  [OK]  images\banner-01.jpg -> images\webp\banner-01.webp  1.5% LARGER (source was already small)
  [OK]  images\banner-02.jpg -> images\webp\banner-02.webp  16.8% LARGER (source was already small)
  [OK]  images\banner-03.jpg -> images\webp\banner-03.webp  +45.7% size
  [OK]  images\banner-04.jpg -> images\webp\banner-04.webp  2.2% LARGER (source was already small)
  [OK]  images\banner-05.jpg -> images\webp\banner-05.webp  14.7% LARGER (source was already small)
  [OK]  images\banner-06.jpg -> images\webp\banner-06.webp  15.8% LARGER (source was already small)
  [OK]  images\banner-07.jpg -> images\webp\banner-07.webp  +23.1% size
  [OK]  images\banner-08.jpg -> images\webp\banner-08.webp  35.1% LARGER (source was already small)
  [OK]  images\banner-09.jpg -> images\webp\banner-09.webp  +39.7% size
  [OK]  images\bg-01.jpg -> images\webp\bg-01.webp  +13.3% size
  [OK]  images\bg-02.jpg -> images\webp\bg-02.webp  14.1% LARGER (source was already small)
  [OK]  images\blog-01.jpg -> images\webp\blog-01.webp  44.3% LARGER (source was already small)
  [OK]  images\blog-02.jpg -> images\webp\blog-02.webp  37.4% LARGER (source was already small)
  [OK]  images\blog-03.jpg -> images\webp\blog-03.webp  20.9% LARGER (source was already small)
  [OK]  images\blog-04.jpg -> images\webp\blog-04.webp  39.2% LARGER (source was already small)
  [OK]  images\blog-05.jpg -> images\webp\blog-05.webp  39.3% LARGER (source was already small)
  [OK]  images\blog-06.jpg -> images\webp\blog-06.webp  13.3% LARGER (source was already small)
  [OK]  images\br\1.png -> images\webp\br\1.webp  66.4% LARGER (source was already small)
  [OK]  images\br\2.png -> images\webp\br\2.webp  29.0% LARGER (source was already small)
  [OK]  images\br\33.png -> images\webp\br\33.webp  59.9% LARGER (source was already small)
  [OK]  images\br\34.png -> images\webp\br\34.webp  55.7% LARGER (source was already small)
  [OK]  images\br\35 (1).png -> images\webp\br\35-(1).webp  59.8% LARGER (source was already small)
  [OK]  images\br\36.png -> images\webp\br\36.webp  61.6% LARGER (source was already small)
  [OK]  images\br\37 (1).png -> images\webp\br\37-(1).webp  60.7% LARGER (source was already small)
  [OK]  images\br\38.png -> images\webp\br\38.webp  68.1% LARGER (source was already small)
  [OK]  images\br\39.png -> images\webp\br\39.webp  67.7% LARGER (source was already small)
  [OK]  images\br\40.png -> images\webp\br\40.webp  59.0% LARGER (source was already small)
  [OK]  images\br\41.png -> images\webp\br\41.webp  64.4% LARGER (source was already small)
  [OK]  images\br\42.png -> images\webp\br\42.webp  62.9% LARGER (source was already small)
  [OK]  images\br\43.png -> images\webp\br\43.webp  60.7% LARGER (source was already small)
